Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkiye,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Viet Nam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1970,,43702318276,,26697107728,,,78617711.1,43095586227,685986701.3,,,,,41333606613,15373005557,,242732571.4,26706196047,333627713.5,458404268.8,8992722167,,391577364.8,538423153.7,,,53339893.32,186300000,1006833333,,166210202.8,179078929.3,61812113.04,96243233.66,189106529.2,88192257632,,24998066773,,9144112431,92602634892,1455482795,1151216993,,274960699.9,7198360460,,,984830158.5,1494644823,5693005200,,,,,2.16E+11,,,17075457600,1485500000,4863526897,1.27E+11,2.70E+11,4.13E+11,,1.02E+12,2862503139,8042200452,6.46E+11,,40992995008,,3045354455,7.29E+11,65401455198,11357516988,219878482.2,1.48E+11,84933333.33,19885925.98,323802475.5,1.31E+11,,2214705882,,3220224608,52296083.67,204670551.4,66331428.57,13139863636,,69520026.67,1904000000,,267800000,2.47E+12,3800766536,723000000,33482337772,,331200000,5762071728,6.07E+11,6.98E+11,84861825818,32052680443,9150684932,53045318412,,62422483055,,4395995086,10976245154,3281318687,526704545.5,7364277925,1.13E+11,1404720442,639519744.2,2.17E+11,,1603447359,,,14295279.54,16300000,9005144969,2873638851,,,,323099700,4601649450,,,43924106346,,90099360.84,2296470588,1.52E+11,5.34E+11,68739972.5,4.03E+11,,1457768455,,,,3956336244,293127333.2,,1111859571,19328038.32,55493554807,35520000000,8408486.051,5.14E+11,,359772315.1,250721821.6,563555630.8,40616151583,,,,,309405316.1,224125805,,3864145667,1.16E+12,,358815684.1,649916621.2,12546094982,,38164716625,12814123115,865975308.6,17570365.96,6495605619,2.40E+12,256319794.9,,10027509450,1351006400,,7559115517,11563041,645568215.3,,45057737029,5034700000,,8108235704,594611111.1,,426566440,2.34E+12,254036000.8,301791301.8,,,219900006,85149253641,5377333333,2101436782,1297407655,1920574150,,434584033.6,1132920000,,347985394.3,,70436667211,,70450505278,4466735993,37211810.7,274900000,,,38092452061,112139955.1,,18432031.7,2140383979,,469266736.7,1.27E+11,,358665753.9,7086538438,,,,,40240513239,,85149253641,70450505278,821850000,1439238095,17863636364,2585955.874,2851419386,1259554809,,3.54E+11,2137096774,1.07E+12,,18450000,11561111111,,,,,3.00E+12,45208338.23,,,21218391513,1825285714,1884206300
1971,,47632993913,,24507115745,,,89406608.15,49931740625,939893599.6,,,,,45216647235,17858486067,,252842285.7,29821661870,335073027.5,482411179.1,8751843188,,422181562.1,573400000,,,59074687.2,211100000,1084666667,,186824232.9,197525767.8,66289450.33,127448613.5,201450799.8,99606454744,,30040171751,,10876091408,99800593791,1584128509,1236941394,,322128019,7820380971,,,1077147538,1613957284,6914658400,,,,,2.50E+11,,,19085731252,1666500000,5077183094,1.36E+11,2.92E+11,4.59E+11,,1.15E+12,2754219271,8609283346,7.32E+11,,46619420359,,3224280835,8.24E+11,66561388562,12527405513,247749327.7,1.66E+11,99219082.85,21783157.57,381687072.6,1.48E+11,,2427184466,,3594302908,55728663.22,204167297.4,64946954.76,14591750000,,88466738.25,1984800000,,282050000,2.75E+12,4476001946,731000000,35707193076,,362800000,6271045034,6.58E+11,7.47E+11,84960443694,29815391064,9333536370,55677119033,,67351404352,,5098250287,13731802833,3865346535,670251136.4,7012333173,1.25E+11,1539861816,678159728.7,2.45E+11,,1778391289,,,15278632.48,19624746.45,9903571249,3880392195,,,,341543100,5260185126,,,45503456420,,104889795.3,2369308600,1.59E+11,5.70E+11,76480285,4.43E+11,,1518773421,,,,4356669034,327706210.4,,1199507631,21566404,63999373657,39200000000,9116810.275,5.48E+11,,395218628.9,264579879.8,587448405.5,46629419112,,,,,335568907.1,251437337.9,,4244395956,1.26E+12,,413985778.6,693573703.6,9181769912,,44579122807,14583114840,882765471.6,19009433.34,7911136757,2.66E+12,301010587.1,,10665896682,1523917200,,8375075630,12706874,717750278.1,,43666468898,5646800000,,9201604240,664571428.6,,480214569.6,2.60E+12,296865513.7,387703105.5,,,222952504.4,90601671637,7184806909,2289655172,1339549033,2263785444,50056882.82,419495908.5,1186120000,,347039445.7,,71791051606,,71808603912,5000430795,37289066.26,301000000,,,41566412923,136462080.7,,21965950.77,2589851241,,501866730.1,1.36E+11,,404648367.8,7375000024,,,,,46198167084,,90601671637,71808603912,896754316.7,1685162272,16166666667,2716989.584,3050673517,1417191656,,3.83E+11,2807258065,1.16E+12,,20051922.33,12986590909,,,,,3.32E+12,53719568.75,,,23411076638,1687000000,2178716300
1972,,51627511757,,29493915342,,,113414397.4,59972469492,1415086929,,,,,52040887850,22059612477,,246804571.4,37209418019,410331857,578595522,6288245867,,534081183.6,590900000,,,65998069.38,235400000,1286153846,,213723103.1,270822782,70139866.79,164460915,230317883.4,1.13E+11,,36844318854,,11833904488,1.14E+11,1849400402,1498251890,,410669263.7,8671358733,,,1238251696,1699530411,8135150892,,,,,3.00E+11,,,23232379952,1987400000,6766743957,1.55E+11,3.24E+11,5.70E+11,,1.38E+12,3185986087,9299638056,8.84E+11,,59132415221,,3520252938,9.94E+11,77479654097,14743186120,316656648.7,2.03E+11,119335897.8,25100928.16,430508358.5,1.70E+11,,2116541353,,4203069035,59160569.48,227986203.9,65429198.24,16885511364,,106101297.8,2101300000,,285380952.4,3.19E+12,5710090213,802996336.5,39808037888,,371998958.4,7355242314,7.41E+11,8.34E+11,90623495177,33470488972,10997590361,57505930242,,71464700667,,6318060582,17153463263,4113848002,839652164.1,9168824838,1.45E+11,1875146587,788479684.6,3.25E+11,,2107279157,,,18936526.95,22944849.12,10862211761,4450537925,,,,368098000,6299395545,,,46497667763,,124940289.3,2553936348,1.69E+11,6.39E+11,80913200.43,5.04E+11,,1901697370,,,,5074117545,402451900.8,,1341590690,25177137.55,78443642841,45200000000,9973652.288,6.14E+11,,486617280.3,295118249.3,662213082.7,55719939191,,,,,391669449.3,318664899.7,,5043347250,1.39E+12,,506808996.7,742779660.8,12274416018,,54706557264,17358610850,1024098400,21734268.53,9567331065,3.09E+12,366883548.3,,9415016360,1673411700,,9067815521,13956474,858761926.1,,51728976467,6328900000,,11239117865,769039682.5,,569517256.1,3.02E+12,326433558.1,510262500.2,,,246457838.3,91337915060,9664267087,2484482759,1620857104,2721440981,40606712.05,465254432,1263720000,,447883941.2,,80983186014,,81009348079,5807495690,41430878.78,311950000,,,48954145809,146736479.2,,30645122.92,3059681665,,585427546.8,1.55E+11,,474043921.8,8177873151,,,,,55204613518,,91337915060,81009348079,1083381044,2237556149,20650000000,2968457.944,3472787266,1490970181,,4.41E+11,2188700565,1.28E+12,,27585804.87,13977727273,,,,,3.83E+12,62566116.65,,,24515919217,1873249300,2677729400
1973,,66610917871,,36902672687,,,150841639.3,79132917459,4231243616,,,,,63830877643,29515467707,,304339839.6,47743801490,504376074.2,674773569.9,8086725729,,761132544.6,670900000,,,78214767.83,269500000,1263600000,,260770622.8,433095526.7,78900289.31,244124164,271183082,1.32E+11,,49550006320,,16826390944,1.39E+11,2508421426,1901393361,,541973362.6,10315760000,,,1528925846,1914714924,9987709650,,,,,3.98E+11,,,30730626663,2344800000,8707858912,1.95E+11,4.07E+11,7.52E+11,,1.76E+12,3891754150,10098534613,1.15E+12,,78639525985,,4070570550,1.29E+12,95510532409,19472363467,425950487.5,2.64E+11,161236465.8,34821467.36,722780701.3,1.93E+11,,3018103448,,5152080388,75187749.1,232331281.5,81203226.91,22347848101,,140153748.2,2569200100,,307047619,3.87E+12,8030117556,912499493.8,48392033698,,466798973,9108483161,9.35E+11,1.04E+12,1.04E+11,35789060007,16273253012,69391280182,,85517673173,,7481173066,27081698250,5134367778,1154440253,11835802405,1.75E+11,1905917553,943783839.7,4.41E+11,,2509001324,,,31710657.73,24196018.38,13876472208,5408804607,,,,386968300,8625889431,,,56115642780,,165928881.6,2875625000,1.99E+11,7.92E+11,121188715.8,6.34E+11,,2609875802,,,,6242145880,523554039.2,,1653062335,30862041.54,1.08E+11,55280000000,11607365.81,7.63E+11,,563683703.3,345602025.4,719754655.4,74036325635,,,,,493237876.3,404285775.1,,7662902678,1.56E+12,,542293399.9,946385105.2,15162871287,,71840909664,22534253703,972101725,26529816.5,12802281898,3.74E+12,483066990.6,,6383429490,1913793400,,11412449735,15331889,1299079410,,63440936907,7002400000,,15090564186,995531746,,763529818.2,3.65E+12,431252938.1,793885560,,,290746157.1,1.05E+11,14947435499,3079022989,1863398590,3696213333,55272108.84,575471323.5,1442320000,,483699610.6,,1.03E+11,,1.03E+11,7469620100,56011606.01,339450000,,,59404966684,221915127.6,,36896280.48,3239487612,,647199483,1.95E+11,,574030984,10838587358,,,,,73351600923,,1.05E+11,1.03E+11,1308799459,2730813385,26000000000,3411915.439,4144104535,1701829789,,5.63E+11,3964994166,1.43E+12,,30165081.09,17035581395,,,,,4.66E+12,82452986.08,,,33262772008,2435736196,3309353600
1974,,81658052383,,49688193509,,,186557082,1.52E+11,11651505690,,,,,88963890936,35189299912,,345263492.1,56033077879,554654860.7,751133430.4,12512460520,,1042176883,632400000,,,103160450.4,312600000,2101300000,,311809337.5,1073591624,92901784.54,306044207.5,281398705.6,1.61E+11,,57103011446,,16209693232,1.44E+11,3070152309,2157415533,,585364634.5,12370029584,,,1666544754,2188779240,11405957317,,,,,4.45E+11,,,34160444798,2925700000,13209871626,2.21E+11,5.73E+11,8.66E+11,,1.99E+12,6599257044,9228963225,1.30E+12,,97274006346,,4577209966,1.46E+12,1.47E+11,24848821490,558587097.4,2.86E+11,196771070.9,46095174.94,1544216002,2.06E+11,,2894409938,,5691417541,95796021.69,256769729.7,94159862.71,25351306818,,169918948.6,3161499900,,433954545.5,4.37E+12,9388695367,1034500000,56393309397,,565399321.5,9983664739,1.17E+12,1.31E+12,1.38E+11,51518189062,25802409639,86863214691,,99526597934,,7896860615,46209092072,11516762614,1515190595,17075130883,2.00E+11,2375122375,1197483949,4.90E+11,,2969958812,,,85637174.37,31514856.31,19543973941,13006948296,,,,486955000,15112543718,,,70169680467,,193980464.9,3574586466,2.46E+11,9.95E+11,150851316.5,7.33E+11,,3183637117,,,,7675466449,563949254.1,,1917508190,39120171.22,1.98E+11,72000000000,15217532.23,9.59E+11,,538747340,376094108.5,1225589878,1.15E+11,,,,,613010552.5,669894029.6,,9496204302,1.71E+12,,637403478.5,1026137111,24846641318,,87243413395,27145693810,1217953547,35994511.24,13940981798,4.19E+12,1645917776,,8899191919,2188307600,,15607882555,16848759.47,1467417672,,88901763881,7684800000,,17512391476,1333475397,,1045235759,4.08E+12,555340842.9,2401403227,,,308458423.2,1.27E+11,45412957746,3961206897,2099325229,5221534956,84539332.28,648940350.9,1665880000,,572504035.9,,1.31E+11,,1.31E+11,10181292908,57817986.54,409850000,,,66013338965,264320941,,43134496.16,5159556981,,652532795.1,2.21E+11,,791450308.4,13702998512,,,,,1.14E+11,,1.27E+11,1.31E+11,2042031901,3545868575,35414285714,4122328.666,4977337978,2098944967,,7.14E+11,4091438980,1.55E+12,,32923702.73,26100930233,,,,,5.36E+12,93549610.5,,,41389186095,2913063764,3982161400
1975,,86883552689,,57280847234,,,220112572.2,1.68E+11,14720728249,,,,,97303017889,40059206763,,420986666.7,65678189097,676870140.3,939972703.5,19448348073,,1099107600,596200000,,,118194026.3,345000000,2405900000,,402178605,1168304306,86820762.47,355168571.5,378660016.3,1.74E+11,,65466081819,,7621570062,1.63E+11,3893839190,2857037371,,767102680.2,13098633902,,,1960863466,2399029470,13027415244,,,489914760.7,,4.91E+11,,,40474406216,3599200000,15557902754,2.49E+11,6.38E+11,9.48E+11,,2.32E+12,7731674472,11632178869,1.51E+12,,1.15E+11,,4577047854,1.70E+12,1.62E+11,29472623242,684282434.4,3.61E+11,227404436,46119184.11,2157592940,2.42E+11,,2810106383,,6102769605,115179719.1,283311996.7,104295643.4,28525876727,,211190630.3,3645900000,,494791666.7,4.88E+12,10048089558,1124000000,64331879475,,681400000,11383139029,1.28E+12,1.45E+12,1.64E+11,59243366176,30463855422,1.05E+11,,98473832017,,9483808362,51776222350,13458516763,1406875081,16050008787,2.28E+11,2860442750,1363073498,5.33E+11,,3259345083,,749129748.2,55083908.15,33364055.3,21784297521,12022811621,,,,577549300,14710912457,,,86232150421,,246389101.9,3791298146,2.70E+11,1.13E+12,149558895.9,7.89E+11,,3123333333,,,,8984853005,711978961.9,,2283049215,24540877.57,2.17E+11,88000000000,16691300.77,1.08E+12,,830710615.2,474620439.6,1061107354,1.31E+11,,,,,703377837.5,673311287.1,,9298800799,1.86E+12,,816652164.4,1048690933,27778934625,,1.00E+11,32877805200,1575789254,40106775.6,12861983284,4.70E+12,2096699189,7075100696,11230606061,2435304100,,16875240684,18521112.49,1356603608,,1.02E+11,8198300000,,19347607843,1511420635,,1147846193,4.57E+12,690323388.5,2512773166,,,571863500.2,1.35E+11,46773208643,4825862069,2830388405,5633673930,74620320.03,679352433.6,1884120100,,757015878.8,,1.45E+11,,1.45E+11,10730993243,60102309.36,465500000,,,82885397621,288299788.5,,47803145.95,6826980535,,864602104.7,2.48E+11,,871781686.9,14882770594,,,,,1.30E+11,32506741.72,1.35E+11,1.45E+11,2442667573,4328965588,46042857143,4014748.054,5729917840,2359555556,,8.18E+11,3538014311,1.68E+12,,33237225.99,27464651163,,,,,5.99E+12,93489282.07,,,42906905672,2443545879,4371300700
1976,,88290755581,,68386320009,,,227283850.8,2.10E+11,19213158779,,,,,1.05E+11,42959976222,,448412753.6,71113882968,698408261.9,976547188.1,10117113333,,1581709519,642100000,,,97094227.23,386300000,2733350000,,435911268.6,1423037167,88461262.74,372025093,451152461.3,2.07E+11,,68476524644,,10338624019,1.54E+11,4662053825,2898090002,,754549601.4,15341403660,,,2412555426,2459992058,13789579903,,,576090073.7,,5.20E+11,,,44575892473,3951500000,17728240932,2.53E+11,7.06E+11,1.04E+12,,2.41E+12,9091921030,13315988083,1.58E+12,,1.19E+11,,4943806093,1.78E+12,1.95E+11,31849513771,694540806.4,3.72E+11,270470345.4,46813192.58,3009409974,2.33E+11,,2765254237,,6762781871,112190829.5,292152321.6,103653049.9,31152835821,,240779417.8,4365300200,,454440000,5.32E+12,12876366009,1347999950,70328556359,,879000000,13192437321,1.38E+12,1.56E+12,1.72E+11,71358695957,37269156627,1.01E+11,,1.03E+11,,9453756015,68055295081,17754825601,1669488390,15864905769,2.25E+11,2966042856,1708521219,5.99E+11,,3474542392,,790357254.5,41110421.32,30095602.29,29902479339,13132252802,,,,596675700,19096943016,,,79141108671,,272489300.5,3591319857,2.85E+11,1.20E+12,147660036.9,8.13E+11,,3423586207,,,,9584297284,735324244.7,,2181844179,22399467.15,2.70E+11,88875923765,18153647.07,1.16E+12,,939228017.2,527936988.8,1204699849,1.62E+11,,,,,775045516.9,713510051.6,,11050234599,2.08E+12,,798313521.7,1064517601,36308883249,,1.09E+11,35942270686,1452788985,40287426.7,13604832424,5.09E+12,2560220035,8481441949,13168080808,2588106000,,19381055197,20364419.71,1511843235,,1.22E+11,8968600000,,20332831565,1698960317,,1145576765,4.96E+12,732288906.3,3284273987,,,637753853.1,1.32E+11,64005665722,6016666667,2869777884,6327077974,83100834.31,594810152.7,2328280100,,871344245.1,,1.58E+11,,1.58E+11,12168150478,52039548.59,505500000,,,89362071673,272550068.1,,49278981.76,7633528674,,866044962,2.52E+11,,874681611.9,16985208648,,,,,1.61E+11,30036416.96,1.32E+11,1.58E+11,2500410584,4508191942,51450000000,3919072.23,6472511988,2447300000,,8.79E+11,3667716535,1.87E+12,,32792844.68,31419534884,,,,,6.51E+12,85003077.52,,,41150460288,2742796006,4318372000
1977,,98868135190,,71790695540,,,253997897.2,2.42E+11,24871775165,,,,77496296.3,1.10E+11,51545758888,,547535555.6,82839905459,750049778.8,1131224878,9651149302,,1989060283,713000000,,,117650000,447000000,3229050000,,495097667.9,1732721161,97884433.76,451624780.3,507298147.5,2.12E+11,,73135771167,,13965595122,1.75E+11,6265068189,3394664024,,765224029.3,19470960619,,,3072427013,2810359160,14206158675,,,734887974,,6.00E+11,,45872947.41,49784338519,4587100000,20972113685,2.91E+11,7.94E+11,1.24E+12,,2.73E+12,11026342618,14400806876,1.79E+12,,1.32E+11,,5651840585,2.01E+12,2.13E+11,33499799321,719501765.8,4.10E+11,347798304.6,47305559.69,2809349069,2.63E+11,,3189428571,,6914381291,138093099.1,298871674.2,103987520.1,36176234968,71494495.19,282269749.2,5480500200,,449880000,6.02E+12,15719433719,1669499950,80079419060,,947000000,14735449497,1.57E+12,1.76E+12,1.85E+11,75267548838,45808915663,1.10E+11,,1.21E+11,,11248340431,80600122702,19838130715,2208509076,18153376716,2.58E+11,3249733140,2096778602,7.37E+11,,4494378764,,716261764.5,38746985.28,44496296.3,38446487603,14137406741,,,,673010600,22428297108,,,84799217600,,303493119.5,4104509583,3.20E+11,1.35E+12,193315048.3,9.46E+11,,3789321328,,,,11049783872,811191392.2,,2358930406,20853788.76,3.14E+11,81912018784,20210069.49,1.30E+12,,1049838548,625573345.5,873579931.9,1.87E+11,,,,,799030017.1,834722972.2,,13139488633,2.29E+12,,837620126.6,1291458041,36035407725,,1.27E+11,41508030431,1382400000,40444701.65,15446825318,5.74E+12,2741169948,10530537666,15126060606,2738261900,,22283109803,22308104.44,1640746619,,1.33E+11,9910900000,,21439523311,2092158730,,1204225094,5.60E+12,793196378.7,3617564638,,,746650613,1.53E+11,74188986586,7503448276,2938046463,6618585074,93145283.36,692079581.2,2941640100,,498550724.6,,1.72E+11,,1.72E+11,14608238751,49207781.82,641500000,,,94468740851,304060076,,64526401.46,7696011417,,935360464.7,2.91E+11,,1097893826,19779312261,,,,,1.86E+11,34139387.89,1.53E+11,1.72E+11,3138666667,5109324009,58683333333,3669419.592,7732598995,2936470588,,9.85E+11,4114374866,2.08E+12,,49353161.85,36210697674,,,,,7.36E+12,98295670.51,,,45328411332,2514430380,4364382100
1978,,1.11E+11,,78779099935,,,308020261.2,2.65E+11,23775764225,,,,88033333.33,1.18E+11,62052259073,,610225555.6,1.01E+11,928843469.4,1475583645,13281767143,,2272042966,832400000,,,136300000,475800000,3760100000,,552883707.1,1941579358,94086227.65,590407374.4,610578632,2.19E+11,,1.02E+11,,15992038535,1.50E+11,7900526298,4662852583,,878771772.2,23263511958,,,3523208810,3227977419,17844705325,,,964026512.2,,7.40E+11,,57130215.56,60362931854,4734400000,26364491313,2.83E+11,8.86E+11,1.57E+12,,3.35E+12,11922497876,14811704063,2.19E+12,,1.61E+11,,6014961435,2.45E+12,2.31E+11,36256160289,829267889.4,5.07E+11,397833034.9,53656834.28,2389479272,3.36E+11,,3662478185,,8087305999,171833086,318876550.6,,44270204082,88322386.3,355987433.4,6070600200,,507080000,7.22E+12,18315136409,3097242093,93710679429,,974200000,17230354545,1.69E+12,1.90E+12,2.09E+11,81846895071,51455719076,1.28E+11,,1.37E+11,,14647996074,77994316621,23762275652,2511826196,17599385989,3.15E+11,2644527822,2602208589,1.04E+12,,5303735111,,766642356.1,45212147.99,49433333.33,51972107438,15503557496,,,,717240400,22136422642,,,98673333688,,436912067.8,2733183857,3.63E+11,1.46E+12,266570066.6,9.40E+11,,4718539772,,,,13236946234,1000555218,,2669755115,24369109.15,3.32E+11,1.03E+11,22209369.83,1.40E+12,,1222702573,793675169.9,935408775,1.99E+11,,,,,804629876.8,1029040323,,16358079862,2.57E+12,,846004687.8,1774365590,36527862209,,1.56E+11,46522900254,1604162497,41754146.88,18530518395,6.92E+12,2740301390,12293161417,17811515152,3244558600,,25762224563,24530014.55,1947878831,,1.49E+11,11165000000,,23487614051,2559857143,,1380350731,6.75E+12,1005569835,4052000413,,,905709076.4,1.74E+11,80266516687,8138461538,3280354921,7517176355,111027427.2,960765043,3127960000,,564571823.2,,1.91E+11,,1.91E+11,16966306081,55044150.45,735500000,,,1.04E+11,340630085.2,,85552365.8,9275200185,,1113920124,2.82E+11,,1164025637,24006566637,,,,,1.98E+11,41567471.67,1.74E+11,1.91E+11,3562333458,5968460080,65912500000,3798781.863,9261675710,2420260870,,1.04E+12,4910526316,2.35E+12,,60844771.48,39316279070,,,,,8.70E+12,108223443.6,,,51607412902,2809862672,4351600500
1979,,1.30E+11,,96682239143,,,411548748.4,3.58E+11,31225659621,,,,109585185.2,1.35E+11,73937296963,,782496666.7,1.16E+11,1186231020,1748480621,15565480322,,2710160740,1139800100,,,151800000,517200000,4510500000,,670362452.1,2803834158,105377995.2,819870258.8,700764747.8,2.44E+11,,1.15E+11,,21806136346,1.78E+11,9142933967,5919002983,,1198749667,27940411250,,,4035519323,3813512912,19584443288,,,1288715210,,8.81E+11,,55017758.89,70366241969,5498800000,33243706860,3.27E+11,1.08E+12,1.70E+12,,4.08E+12,14175160902,18020571429,2.66E+12,,2.15E+11,,6586048398,2.96E+12,2.98E+11,44465255686,1019691460,6.14E+11,448568492.7,60270778.33,3030251120,4.39E+11,,4020227920,,8877094497,207112627.7,308143183.3,,54481876725,102244362.2,420645821.5,6902600200,,530440000,8.35E+12,22526184533,3544281976,1.06E+11,,1080600000,19894622393,2.05E+12,2.30E+12,2.44E+11,1.00E+11,51400186343,1.43E+11,,1.53E+11,,18319334300,90391877326,37816457839,2853435054,22480105812,3.94E+11,2425064229,3271368781,1.08E+12,,6234391113,,723738502.7,42618212.22,58840740.74,66946900826,24749063922,,,,814067900,30536429498,,,1.10E+11,,503173104.4,3364611432,4.21E+11,1.76E+12,290134592.5,1.16E+12,,5516982664,,,,15911994817,1209870147,,3463565854,38523364.51,4.34E+11,1.35E+11,25545346.13,1.69E+12,,1595422956,1001300838,952265043.4,2.50E+11,,,,,951900945.2,1227446632,,21213264962,2.87E+12,,1047225724,2109277666,47259911894,,1.80E+11,53132244624,1851250008,44431329.77,20731243113,7.98E+12,3733352635,15359233809,19688383838,3704551600,,31218296292,27004250.99,2293760511,,1.88E+11,12750000000,,26622819672,3416777778,,1661086764,7.75E+12,1215032464,5632962997,,,1109346131,1.95E+11,1.12E+11,8421678322,4084877823,9296921724,151276496.5,1109343236,3463639900,,589566929.1,,2.28E+11,,2.28E+11,20881578098,65755141.78,782500000,,,1.23E+11,412093133.8,,127261099.2,9929681649,,1004316496,3.27E+11,,1259365712,27371650825,,,,,2.48E+11,44667002.01,1.95E+11,2.28E+11,4602416625,7188863904,89616129032,4065659.434,9804637491,2139025000,,1.28E+12,7181487624,2.63E+12,,71096359.63,48310930233,,,,119258835.3,1.01E+13,122257392.6,,,63038658089,3354854981,5177459400
