date,myr_usd,myr_rmb,myr_sgd,myr_eur,myr_jpy,myr_twd,myr_thb,myr_idr,myr_hkd,myr_krw,myr_vnd,myr_inr,myr_aud,myr_php,myr_aed,myr_sar,myr_try,myr_gbp,myr_brl,myr_mxn,myr_bdt,myr_chf,myr_cad,myr_rub
2003-12-01,0.263379693,2.177412973,0.4534608051,0.2201248489,28.75316061,8.359131934,10.50621579,2238.306086,2.045143281,315.6342306,3980.457301,12.03908553,0.3628468626,14.60967189,0.9669985344,0.9876211642,0.3535353365,0.1532527471,0.7698588684,2.991466501,14.91045105,0.3418931781,0.3434998097,7.822377084
2003-12-02,0.2633588612,2.177240752,0.4529772488,0.2178504488,28.63500986,8.359131934,10.494587,2234.889529,2.043506719,314.7138391,3970.134833,12.0168019,0.3628468626,14.60851635,0.9669220504,0.987543049,0.3535353365,0.1522029797,0.7719048207,2.973321533,14.93402792,0.3389955193,0.3414710953,7.81912473
2003-12-03,0.263838321,2.181177871,0.4527729367,0.2176349552,28.57369097,8.359131934,10.50261183,2234.156621,2.047490858,314.6271978,3984.486323,12.01783532,0.3628468626,14.63511199,0.9686823869,0.9893409272,0.3535353365,0.1526753278,0.7733101173,2.966861889,14.98021216,0.3390850101,0.3430161929,7.833359891
2003-12-04,0.263247937,2.176270747,0.451075346,0.217903487,28.50185325,8.359131934,10.49569497,2235.633105,2.044462506,313.2913634,3971.621625,11.99041712,0.3628468626,14.48390161,0.966514792,0.9871271053,0.3535353365,0.1529891734,0.7747386991,2.945217846,14.93510876,0.339194954,0.3452233592,7.813198849
2003-12-05,0.2638801038,2.181470447,0.4522904944,0.2165268257,28.3987775,8.359131934,10.5058585,2234.826884,2.047630395,312.6187461,3981.686887,11.99308719,0.3628468626,14.57937574,0.9689149384,0.9894976046,0.3535353365,0.1522588257,0.7742242287,2.954665404,14.97757052,0.3357610498,0.3438093759,7.816128897
2003-12-06,0.2638801038,2.181470447,0.4522904944,0.2165268257,28.3987775,8.359131934,10.5058585,2234.826884,2.047630395,312.6187461,3981.686887,11.99308719,0.3628468626,14.57937574,0.9689149384,0.9894976046,0.3535353365,0.1522588257,0.7742242287,2.954665404,14.97757052,0.3357610498,0.3438093759,7.816128897
2003-12-07,0.2638801038,2.181470447,0.4522904944,0.2165268257,28.3987775,8.359131934,10.5058585,2234.826884,2.047630395,312.6187461,3981.686887,11.99308719,0.3628468626,14.57937574,0.9689149384,0.9894976046,0.3535353365,0.1522588257,0.7742242287,2.954665404,14.97757052,0.3357610498,0.3438093759,7.816128897
2003-12-08,0.263331145,2.176984997,0.4505332427,0.2154917733,28.28439925,8.359131934,10.48347643,2236.392467,2.044687325,312.2053991,3974.456972,11.97366749,0.3628468626,14.48847972,0.9668992716,0.987439119,0.3535353365,0.1518446372,0.7741935815,2.949835398,14.91823614,0.3337459002,0.341514171,7.778802266
2003-12-09,0.263685286,2.179912716,0.451429213,0.2152542137,28.23805632,8.359131934,10.45538553,2234.548168,2.047147053,311.8605749,3982.966246,11.97948617,0.3628468626,14.50796456,0.9681996064,0.9887670769,0.3535353365,0.1510732052,0.7733889671,2.943255084,14.98365304,0.3330872651,0.344557561,7.786626678
2003-12-10,0.2626395226,2.171240985,0.4501641381,0.2154379516,28.46487073,8.359131934,10.47458943,2233.0138,2.038844317,308.9691407,3968.220546,11.91621735,0.3628468626,14.48457007,0.9643597722,0.984845673,0.3535353365,0.1509599414,0.7726854523,2.943401071,14.87511491,0.3332895681,0.3438739127,7.750492371
2003-12-11,0.2644663155,2.186369565,0.4533217123,0.216349309,28.55707364,8.359131934,10.45356017,2232.67758,2.052866885,309.399149,3995.557095,12.01972992,0.3628468626,14.5853177,0.9710673903,0.9916957811,0.3535353365,0.1514519204,0.7764731311,2.937956353,14.96614883,0.3355813175,0.3481170202,7.767375908
2003-12-12,0.2630540431,2.174694167,0.4499013216,0.2142312172,28.32565944,8.359131934,10.40299847,2228.436123,2.041430889,308.6149905,3978.429347,11.94844098,0.3628468626,14.55478068,0.9658818085,0.9863737635,0.3535353365,0.1505484517,0.7720636013,2.963303885,14.89333091,0.3319478833,0.3455214978,7.731158165
2003-12-13,0.2630540431,2.174694167,0.4499013216,0.2142312172,28.32565944,8.359131934,10.40299847,2228.436123,2.041430889,308.6149905,3978.429347,11.94844098,0.3628468626,14.55478068,0.9658818085,0.9863737635,0.3535353365,0.1505484517,0.7720636013,2.963303885,14.89333091,0.3319478833,0.3455214978,7.731158165
2003-12-14,0.2630540431,2.174694167,0.4499013216,0.2142312172,28.32565944,8.359131934,10.40299847,2228.436123,2.041430889,308.6149905,3978.429347,11.94844098,0.3628468626,14.55478068,0.9658818085,0.9863737635,0.3535353365,0.1505484517,0.7720636013,2.963303885,14.89333091,0.3319478833,0.3455214978,7.731158165
